address,spx
0x119dd5bcba37c5d2b3cc9e7767d359e46c83b36d,1385.57012435
0x4969f27045ace726431c079cc6e3e4ff32e79220,1342.36768698
0x025a1d3060eee19b1efe3972196f29e1abb81b34,1326
0xc0c9e764ec6bd33e0589926c5f788625a065fdeb,1314.05622755
0x1ba4c2121dd840d158b09c262d829fdd2eb77630,1269.061815
0xa7be6b197456396278752f247136350cce334d08,1228.16528192
0xc0ac56cf556b41da25354cc0199200bf36f79ccc,1220.83066138
0x325e7d11ceb9fc8e0ec8e4612261f65168e230b5,1051.63956758
0x34cffa1116fed357d6222a55db6782a39b3f594f,1008.89823459
0x763e5aa3375ae1af82c96ec25e638798696c105b,1000.70165898
0x0a9e184ddfc9ff47267cb0da48bb5a24a48e81f5,877.6410251
0xaf9a158773499e619e853043f8589b7cd3d2174e,841.5229812
0xeb68dde9694307cd8878bd5a09c7b9fee0403984,744.92457193
0x655048fd3301fb9d767071772ddc055ae30a94da,690
0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7,654.47572984
0x4db2d92730323420247ea1245336adf61e0ea442,619.20282627
0x43385503f4607fff87d04a49aae8f9eea708a5b7,604.89468226
0x801620722ca9ff9fb6f0af985a4dcec116e6c604,600.91926492
0x5c94675fabb70374b3af8eaf3ea85853eafd9cee,579.63973492
0x2f616e9bb037bf8b6598eafbe960e5cc7626cc8b,500
0xf04c0960da34ad6879533d1678aed60101e6e0f9,475.54884762
0x0fa3a81aed9e50d186d102a54b29482bdc655210,473.64592144
0x9812f00c034578a4919ad0f80b7e974a5d1d8681,453.22257568
0x9e9bcaeae4f115201f7678eb1402481866fc3ec3,415.41141763
0x8699890fffb4a44ca72de23f857f083ef879b3c5,395.71638934
0x0ca68354b4410f00d5850d51488cd589b0262488,353.85079786
0x5cb9d77720e152e82c0534199b4cc002b02a11f3,314.84937207
0x8bfff78edbfa534fe52dd87d945dac9a671957ae,300
0x04bd3ffa150cca5cccd0b77697a4457afa8ad9fe,292.2073368
0x9bd58f12ffdfe228d1f085ab0af55fa070b31391,287.06961495
0xf5c34ad5937b514caa17436e05921a3c9b35e79e,247.55139305
0x5349605eae6a6d3a835cb013bfc55cb4966417bc,247
0x83d5770fff70d12b9c16ccd17cc1d174ca457734,245.94577402
0xe1c57e968d8e7bf3173585feebe97b9c24a002cf,226.51794355
0x5a415d3e88bed25ddcbee37be9cca60fd666af14,214.3671871
0xc2db056dffbc25d2434ea9536a3afdb0758062f2,194.19540884
0x8675c1c5e5a480e277cb4589a6bd17545be1e3b8,163.56545045
0x5529e0608cfc0cab5bb86b59cba7e88f0f66dfef,157.22449794
0x03e8428e14fdbf530d1d2551612239ff40218697,150.5727202
0xaa9c40201d1ac8bfe3f28c2350978ba4cafd1f04,132.31358669
0x9c73519f0504a54af9451d9bc7f0fbce609a15fb,120.45040735
0x884a026ec806b382e2308bf72695f2e76d9c0e78,119.02369521
0x548a9d6fa0a4b5f1226a4c7bd7b47170e47ee6c1,105.94844812
0x939dac8072b20a93e5a74e266867e9dc74aa9430,82.024271
0xe17ba81662bb320bb5a4968af6bca01f0ffb0729,79.72417588
0x02c545e7e16afbbe405fad98a8a5a9a9feece114,77.13550998
